Engineers From Taiwan Bolstered China’s Chip Industry. Now They’re Leaving.,台灣工程師曾助推中國晶片行業，如今他們正在離開
"“Some Taiwanese semiconductor companies have qualms about previous experiences of working in China,” said Ms. Wang, who also returned to Taiwan as Covid took hold.",「有的台灣半導體公司會對之前在中國的工作經驗有疑慮，」伊芳·王說，她也在新冠疫情暴發時返回了台灣。
"With China making industry advances, Taiwan has begun to take measures to stop the brain drain and protect a core economic driver. The island’s economy grew more than 6 percent last year, in part from the surge in global demand for semiconductors.",隨著中國大陸工業的進步，台灣已開始採取措施，阻止人才流失，保護一個核心經濟驅動力。台灣經濟去年增長超過6%，部分原因是全球對半導體的需求激增。
"Gin Chang, 30, a Taiwanese engineer who worked in southern China for a year and doubled his salary, said he understood the growing unease in Taiwan about its young engineers’ contributing to China’s growth.",30歲的台灣工程師金·張（音）在中國南方工作了一年，工資翻了一番。他說，他理解台灣對其年輕工程師為中國經濟增長做出貢獻而日益感到不安。
"“I don’t think there should be restrictions on us working in China,” Mr. Chang said. “But from the perspective of the government in Taiwan, if the Chinese economy grows because of its growing semiconductor industry, then Taiwan’s economic situation could be endangered.”",「我認為我們在中國工作不應該受到限制，」金·張說。「但從台灣政府的角度來看，如果中國大陸經濟增長是因為其不斷增長的半導體產業，那麼台灣的經濟形勢可能會受到威脅。」
"Under regulations introduced in early 2021, headhunters in Taiwan are barred from advertising jobs in China’s microchip industry. The Ministry of Justice established a task force that ordered raids on Chinese firms operating in Taiwan. The Chinese companies were suspected of being fronts created to recruit local engineers for jobs in China; more than 40 cases of poaching workers and stealing secrets have been prosecuted since last year, the government said in September.",根據2021年初出台的規定，台灣獵頭公司不得發布關於中國微晶片行業的招聘廣告。台灣法務部成立了一個特別工作組，會受命突查在台運營的中國企業。這些中國企業被懷疑是為招聘當地工程師到中國工作而設的幌子；台灣政府9月表示，自去年以來，已經起訴了40多起挖角和竊密案件。
"Much of the poaching involved Chinese companies trying to capture Taiwanese expertise, applying that knowledge in their plants and then ditching the workers, said one headhunter, Michael Lo.",一位名叫麥可·盧（音）的獵頭表示，大部分挖角行為都與試圖獲取台灣專業技能的中國企業有關，它們會將這些知識應用到自己的工廠，然後解僱工人。
"“China’s corporate culture is just three words: ‘Raise and kill,’” Mr. Lo said. “It will first cultivate you and spend lots of money and resources on you, then steal your technologies and, finally, fire you,” he said.",「大陸的企業文化就是三個字：養套殺，」麥可·盧說。「先培養你，在你身上花很多錢和資源，然後竊取你的技術，最後解僱你。」
"Mr. Li, the engineer who went back home, had worked his way up the Taiwanese semiconductor industry. He had four jobs at smaller companies before joining TSMC at its headquarters in Hsinchu Science Park, a campus sometimes known as Taiwan’s Silicon Valley, 30 minutes by high-speed train from Taipei, the capital.",那位回國的工程師凱文·李曾在台灣半導體行業一路摸爬滾打。在加入新竹科學園——該園區有時被稱為台灣「矽谷」，從首都台北乘高鐵30分鐘即可抵達——的台積電總部之前，他曾在規模較小的企業做過四份工作。
"TSMC is the pride of Taiwan. Visitors to its main building, set in lush foliage, are greeted by a striking sign with the name of the company’s founder, Morris Chang. One of Taiwan’s multibillionaires, Mr. Chang, 91, grew up in China, attended Harvard and M.I.T. and worked at Texas Instruments before starting TSMC in 1987.",台積電是台灣的驕傲。其主樓坐落於蔥鬱樹林之中，來訪者會看到一個醒目的標誌，上面寫著公司創始人張忠謀的名字。現年91歲的張忠謀是台灣的億萬富豪之一，在中國長大，曾就讀於哈佛大學和麻省理工學院。在1987年創辦台積電之前，他曾在德州儀器工作。
"When Mr. Li arrived at TSMC, he felt lucky but found it a slog inside the foundry, he said.",當凱文·李來到台積電，他說感覺自己很幸運，但發現在代工廠裡幹活的日子很艱苦。
"“I had the feeling of being a small screw most when working in TSMC,” Mr. Li said. “Going to China was like looking forward to a place without the constraints of an outdated framework. You can take the plunge by going there.”",「我在台積時有『小螺絲釘』的感受，」凱文·李說。「到中國是期待一個沒有陳舊框架的束縛，可以放手去幹。」
"For now, Mr. Li is staying in Taiwan, working for an American chip company operating there and siding with the invigorated patriotic sentiment and the ethos of individual liberty.",目前，凱文·李留在台灣，為一家在台運營的美國晶片企業工作，他支持高漲的愛國情緒，也崇尚個體自由的精神。
"“The advantage of working in Taiwan is that you don’t have to worry about officials shutting down the whole company because of one thought,” he said. “The atmosphere is very important. At least I can watch all kinds of programs criticizing the governments on both sides of the Taiwan Strait without worrying about being arrested.”",「台灣工作的優點就是不用擔心官員一轉念就收掉，」他說。「自由的空氣也很重要，至少我可以隨便看各種批評兩岸的節目，不用擔心被抓。」
